time,05,11,15,17,20,21
2465,59.1,69.3,33.7,100.0,28.4,72.9
2470,58.9,69.1,33.5,100.0,28.1,72.7
2475,58.6,68.8,33.3,100.0,27.8,72.5
2480,58.4,68.5,33.0,100.0,27.6,72.2
2485,58.1,68.3,32.7,100.0,27.3,71.9
2490,57.8,68.0,32.5,100.0,27.0,71.7
2495,57.6,67.7,32.2,100.0,26.8,71.4
2500,57.3,67.5,31.9,100.0,26.5,71.2
2505,57.1,67.2,31.7,100.0,26.2,70.9
2510,56.8,66.9,31.4,100.0,26.0,70.6
2515,56.5,66.7,31.2,100.0,25.7,70.4
2520,56.3,66.4,30.9,100.0,25.5,70.1
2525,56.0,66.2,30.6,100.0,25.2,69.8
2530,55.7,65.9,30.4,100.0,24.9,69.6
2535,55.5,65.6,30.1,100.0,24.7,69.3
2540,55.2,65.4,29.9,100.0,24.4,69.0
2545,54.9,65.1,29.6,100.0,24.1,68.8
2550,54.7,64.8,29.3,99.8,23.9,68.5
2555,54.4,64.6,29.1,99.5,23.6,68.2
2560,54.1,64.3,28.8,99.3,23.5,68.0
2565,53.9,64.0,28.5,99.0,23.5,67.7
2570,53.6,63.8,28.3,98.7,23.5,67.5
2575,53.4,63.5,28.0,98.5,23.5,67.2
2580,53.1,63.3,27.7,98.2,23.5,66.9
2585,52.8,63.0,27.5,97.9,23.5,66.7
2590,52.6,62.7,27.2,97.7,23.5,66.4
2595,52.3,62.5,26.9,97.4,23.5,66.1
2600,52.0,62.2,26.7,97.1,23.5,65.9
2605,51.8,62.0,26.4,96.9,23.5,65.6
2610,51.5,61.7,26.1,96.6,23.5,65.3
2615,51.3,61.4,25.9,96.3,23.5,65.1
2620,51.0,61.2,25.6,96.1,100.0,64.8
2625,50.7,60.9,25.4,95.8,100.0,64.6
2630,50.5,60.6,25.2,95.6,100.0,64.3
2635,50.2,60.4,25.2,95.3,100.0,64.0
2640,50.0,60.1,25.2,95.0,100.0,63.8
2645,49.7,59.8,25.2,94.8,100.0,63.5
2650,49.5,59.6,25.2,94.5,100.0,63.3
2655,49.2,59.4,25.2,94.2,100.0,63.0
2660,48.9,59.1,25.2,94.0,100.0,62.7
2665,48.7,58.8,25.2,93.7,100.0,62.5
2670,48.4,58.6,25.2,93.4,100.0,62.2
2675,48.1,58.3,25.2,93.2,100.0,61.9
2680,47.9,58.1,25.2,92.9,100.0,61.7
2685,47.6,57.8,25.2,92.6,100.0,61.4
2690,47.4,57.5,100.0,92.4,100.0,61.1
2695,47.1,57.3,100.0,92.1,100.0,60.9
2700,46.8,57.0,100.0,91.9,100.0,60.6
2705,46.6,56.8,100.0,91.6,100.0,60.3
2710,46.3,56.5,100.0,91.3,100.0,60.1
2715,46.1,56.2,100.0,91.1,100.0,59.9
2720,45.8,56.0,100.0,90.8,100.0,59.6
2725,45.5,55.7,100.0,90.6,100.0,59.4
2730,45.3,55.4,100.0,90.3,100.0,59.1
2735,45.0,55.2,100.0,90.0,100.0,58.8
2740,44.7,54.9,100.0,89.8,99.8,58.6
2745,44.5,54.6,100.0,89.5,99.6,58.3
2750,44.2,54.4,100.0,89.3,99.3,58.0
2755,44.0,54.1,100.0,89.0,99.0,57.8
2760,43.7,53.9,100.0,88.7,98.8,57.5
2765,43.4,53.6,100.0,88.5,98.5,57.2
2770,43.2,53.3,100.0,88.2,98.3,57.0
2775,42.9,53.1,100.0,87.9,98.0,56.7
2780,42.6,52.8,100.0,87.7,97.7,56.5
2785,42.4,52.5,100.0,87.5,97.5,56.2
2790,42.1,52.3,100.0,87.2,97.2,55.9
2795,41.8,52.0,100.0,87.0,96.9,55.7
2800,41.6,51.7,100.0,86.7,96.7,55.4
2805,41.3,51.5,100.0,86.4,96.4,55.1
2810,41.0,51.2,100.0,86.2,96.1,54.9
2815,40.8,50.9,100.0,85.9,95.9,54.6
2820,40.5,50.7,100.0,85.6,95.6,54.3
2825,40.3,50.4,100.0,85.4,95.3,54.1
2830,40.0,50.2,100.0,85.1,95.1,53.8
2835,39.7,49.9,100.0,84.8,94.8,53.6
2840,39.5,49.6,100.0,84.6,94.6,53.3
2845,39.2,49.4,100.0,84.3,94.3,53.0
2850,38.9,49.1,100.0,84.1,94.0,52.8
2855,38.7,48.9,100.0,83.8,93.8,52.5
2860,38.4,48.6,100.0,83.6,93.5,52.2
2865,38.2,48.3,100.0,83.3,93.2,52.0
2870,37.9,48.1,100.0,83.0,93.0,51.7
2875,37.7,47.8,100.0,82.8,92.7,51.5
2880,37.4,47.5,100.0,82.5,92.4,51.2
2885,37.2,47.3,100.0,82.3,92.2,50.9
2890,36.9,47.1,100.0,82.0,91.9,50.7
2895,36.6,46.8,100.0,81.7,91.6,50.4
2900,36.4,46.5,100.0,81.5,91.4,50.1
2905,36.1,46.3,100.0,81.2,91.1,49.9
2910,35.8,46.0,100.0,81.0,90.9,49.6
2915,35.6,45.7,100.0,80.7,90.6,49.3
2920,35.3,45.5,100.0,80.5,90.3,49.1
2925,35.1,45.2,100.0,80.2,90.1,48.8
2930,34.8,45.0,100.0,79.9,89.8,48.6
2935,34.5,44.7,100.0,79.7,89.6,48.3
2940,34.3,44.4,100.0,79.4,89.3,48.0
2945,34.0,44.2,100.0,79.1,89.0,47.8
2950,33.7,43.9,100.0,78.9,88.8,47.5
2955,33.5,43.7,100.0,78.6,88.5,47.3
2960,33.2,43.4,100.0,78.4,88.2,47.0
2965,33.0,43.1,100.0,78.1,88.0,46.8
2970,32.7,42.9,100.0,77.9,87.7,46.5
2975,32.4,42.6,100.0,77.6,87.4,46.2
2980,32.2,42.3,100.0,77.3,87.2,46.0
2985,31.9,42.1,100.0,77.1,86.9,45.7
2990,31.6,41.8,100.0,76.8,86.7,45.4
2995,31.4,41.6,100.0,76.5,86.4,45.2
3000,31.1,41.3,100.0,76.3,86.1,44.9
3005,30.9,41.0,100.0,76.0,85.9,44.7
3010,30.6,40.8,100.0,75.8,85.6,44.4
3015,30.3,40.5,100.0,75.5,85.3,44.1
3020,30.1,40.2,100.0,75.3,85.1,43.9
3025,29.8,40.0,100.0,75.0,84.9,43.6
3030,29.5,39.7,100.0,74.8,84.6,43.3
3035,29.3,39.4,100.0,74.5,84.3,43.1
3040,29.0,39.2,100.0,74.2,84.1,42.8
3045,28.7,38.9,100.0,74.0,83.8,42.5
3050,28.5,38.6,100.0,73.7,83.6,42.3
3055,28.2,38.4,100.0,73.4,83.3,42.0
3060,27.9,38.1,100.0,73.2,83.0,41.8
3065,27.7,37.9,100.0,72.9,82.8,41.5
3070,27.4,37.6,100.0,72.6,82.5,41.2
3075,27.2,37.3,100.0,72.4,82.3,41.0
3080,26.9,37.1,100.0,72.1,82.0,40.7
3085,26.6,36.8,100.0,71.9,81.7,40.4
3090,26.4,36.6,100.0,71.6,81.5,40.2
3095,26.1,36.3,100.0,71.4,81.2,39.9
3100,25.8,36.0,100.0,71.1,81.0,39.6
3105,25.6,35.8,100.0,70.8,80.7,39.4
3110,25.3,35.5,100.0,70.6,80.5,39.1
3115,25.0,35.2,100.0,70.3,80.2,38.9
3120,24.8,35.0,100.0,70.1,79.9,38.6
3125,24.5,34.7,100.0,69.8,79.7,38.3
3130,24.2,34.5,100.0,69.6,79.4,38.1
3135,24.0,34.2,100.0,69.3,79.1,37.8
3140,23.7,34.0,100.0,69.0,78.9,37.5
3145,23.4,33.7,100.0,68.8,78.6,37.3
3150,23.2,33.4,100.0,68.5,78.3,37.0
3155,22.9,33.2,100.0,68.3,78.1,36.8
3160,22.7,32.9,100.0,68.0,77.8,36.5
3165,22.5,32.7,100.0,67.7,77.6,36.2
3170,22.5,32.4,99.9,67.5,77.3,36.0
3175,22.5,32.1,99.7,67.2,77.0,35.7
3180,22.5,31.9,99.4,66.9,76.8,35.4
3185,22.5,31.6,99.2,66.7,76.5,35.2
3190,22.5,31.3,98.9,66.4,76.2,35.0
3195,22.5,31.1,98.6,66.2,76.0,34.7
3200,22.5,30.8,98.4,65.9,75.7,34.4
3205,22.5,30.6,98.1,65.7,75.5,34.2
3210,22.5,30.3,97.8,65.4,75.2,33.9
3215,22.5,30.0,97.6,65.1,74.9,33.7
3220,22.5,29.8,97.3,64.9,74.7,33.4
3225,100.0,29.5,97.0,64.6,74.4,33.1
3230,100.0,29.2,96.8,64.4,74.1,32.9
3235,100.0,29.0,96.5,64.1,73.9,32.6
3240,100.0,28.7,96.2,63.8,73.6,32.3
3245,100.0,28.4,96.0,63.6,73.3,32.1
3250,100.0,28.2,95.7,63.3,73.1,31.8
3255,100.0,27.9,95.4,63.0,72.8,31.5
3260,99.9,27.6,95.2,62.8,72.5,31.3
3265,99.7,27.4,94.9,62.6,72.3,31.0
3270,99.4,27.1,94.7,62.3,72.1,30.7
3275,99.2,26.8,94.4,62.0,71.8,30.5
3280,98.9,26.6,94.1,61.8,71.6,30.2
3285,98.6,26.3,93.9,61.5,71.3,30.0
3290,98.4,26.1,93.6,61.2,71.0,29.7
3295,98.1,25.8,93.3,61.0,70.8,29.4
3300,97.8,25.5,93.1,60.7,70.5,29.2
3305,97.6,25.3,92.8,60.5,70.2,28.9
3310,97.3,25.0,92.5,60.2,70.0,28.6
3315,97.0,24.7,92.3,59.9,69.7,28.4
3320,96.8,24.5,92.0,59.7,69.5,28.1
3325,96.5,24.2,91.7,59.4,69.2,27.8
3330,96.2,23.9,91.5,59.2,69.0,27.6
3335,96.0,23.7,91.2,58.9,68.7,27.3
3340,95.7,23.4,91.0,58.7,68.4,27.0
