cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,9539.0,61.0,False,0,0
cell_000_001,60.0,20.0,9533.0,67.0,False,0,1
cell_000_002,100.0,20.0,9526.0,74.0,False,0,2
cell_000_003,140.0,20.0,9552.0,48.0,False,0,3
cell_000_004,180.0,20.0,9548.0,52.0,False,0,4
cell_000_005,220.0,20.0,9544.0,56.0,False,0,5
cell_000_006,260.0,20.0,9537.0,63.0,False,0,6
cell_000_007,300.0,20.0,9589.0,11.0,False,0,7
cell_000_008,340.0,20.0,9584.0,16.0,False,0,8
cell_000_009,380.0,20.0,9579.0,21.0,False,0,9
cell_000_010,420.0,20.0,9572.0,28.0,False,0,10
cell_000_011,460.0,20.0,1372.0,8228.0,True,0,11
cell_001_000,20.0,60.0,9593.0,7.0,False,1,0
cell_001_001,60.0,60.0,9493.0,107.0,False,1,1
cell_001_002,100.0,60.0,9565.0,35.0,False,1,2
cell_001_003,140.0,60.0,9557.0,43.0,False,1,3
cell_001_004,180.0,60.0,9552.0,48.0,False,1,4
cell_001_005,220.0,60.0,9600.0,0.0,False,1,5
cell_001_006,260.0,60.0,9600.0,0.0,False,1,6
cell_001_007,300.0,60.0,9593.0,7.0,False,1,7
cell_001_008,340.0,60.0,9585.0,15.0,False,1,8
cell_001_009,380.0,60.0,9600.0,0.0,False,1,9
cell_001_010,420.0,60.0,9593.0,7.0,False,1,10
cell_001_011,460.0,60.0,1364.0,8236.0,True,1,11
cell_002_000,20.0,100.0,9599.0,1.0,False,2,0
cell_002_001,60.0,100.0,9499.0,101.0,False,2,1
cell_002_002,100.0,100.0,9571.0,29.0,False,2,2
cell_002_003,140.0,100.0,9540.0,60.0,False,2,3
cell_002_004,180.0,100.0,9559.0,41.0,False,2,4
cell_002_005,220.0,100.0,9553.0,47.0,False,2,5
cell_002_006,260.0,100.0,9528.0,72.0,False,2,6
cell_002_007,300.0,100.0,9548.0,52.0,False,2,7
cell_002_008,340.0,100.0,9552.0,48.0,False,2,8
cell_002_009,380.0,100.0,9600.0,0.0,False,2,9
cell_002_010,420.0,100.0,9595.0,5.0,False,2,10
cell_002_011,460.0,100.0,9589.0,11.0,False,2,11
cell_003_000,20.0,140.0,9600.0,0.0,False,3,0
cell_003_001,60.0,140.0,9544.0,56.0,False,3,1
cell_003_002,100.0,140.0,9578.0,22.0,False,3,2
cell_003_003,140.0,140.0,9564.0,36.0,False,3,3
cell_003_004,180.0,140.0,9565.0,35.0,False,3,4
cell_003_005,220.0,140.0,9376.0,224.0,True,3,5
cell_003_006,260.0,140.0,9538.0,62.0,False,3,6
cell_003_007,300.0,140.0,9542.0,58.0,False,3,7
cell_003_008,340.0,140.0,9524.0,76.0,False,3,8
cell_003_009,380.0,140.0,9506.0,94.0,False,3,9
cell_003_010,420.0,140.0,9600.0,0.0,False,3,10
cell_003_011,460.0,140.0,9581.0,19.0,False,3,11
cell_004_000,20.0,180.0,9559.0,41.0,False,4,0
cell_004_001,60.0,180.0,9543.0,57.0,False,4,1
cell_004_002,100.0,180.0,9585.0,15.0,False,4,2
cell_004_003,140.0,180.0,9598.0,2.0,False,4,3
cell_004_004,180.0,180.0,9600.0,0.0,False,4,4
cell_004_005,220.0,180.0,9562.0,38.0,False,4,5
cell_004_006,260.0,180.0,9391.0,209.0,True,4,6
cell_004_007,300.0,180.0,9528.0,72.0,False,4,7
cell_004_008,340.0,180.0,9523.0,77.0,False,4,8
cell_004_009,380.0,180.0,9517.0,83.0,False,4,9
cell_004_010,420.0,180.0,9597.0,3.0,False,4,10
cell_004_011,460.0,180.0,9574.0,26.0,False,4,11
cell_005_000,20.0,220.0,9566.0,34.0,False,5,0
cell_005_001,60.0,220.0,9535.0,65.0,False,5,1
cell_005_002,100.0,220.0,9591.0,9.0,False,5,2
cell_005_003,140.0,220.0,9597.0,3.0,False,5,3
