cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,1723.0,197.0,True,0,0
cell_000_001,60.0,20.0,1730.0,190.0,True,0,1
cell_000_002,100.0,20.0,1736.0,184.0,True,0,2
cell_000_003,140.0,20.0,1818.0,102.0,False,0,3
cell_000_004,180.0,20.0,1827.0,93.0,False,0,4
cell_000_005,220.0,20.0,1833.0,87.0,False,0,5
cell_000_006,260.0,20.0,1732.0,188.0,True,0,6
cell_000_007,300.0,20.0,1747.0,173.0,False,0,7
cell_000_008,340.0,20.0,1755.0,165.0,False,0,8
cell_000_009,380.0,20.0,1761.0,159.0,False,0,9
cell_000_010,420.0,20.0,1469.0,451.0,True,0,10
cell_000_011,460.0,20.0,1331.0,589.0,True,0,11
cell_001_000,20.0,60.0,1796.0,124.0,False,1,0
cell_001_001,60.0,60.0,1920.0,0.0,False,1,1
cell_001_002,100.0,60.0,1920.0,0.0,False,1,2
cell_001_003,140.0,60.0,1816.0,104.0,False,1,3
cell_001_004,180.0,60.0,1841.0,79.0,False,1,4
cell_001_005,220.0,60.0,1838.0,82.0,False,1,5
cell_001_006,260.0,60.0,1740.0,180.0,False,1,6
cell_001_007,300.0,60.0,1846.0,74.0,False,1,7
cell_001_008,340.0,60.0,1854.0,66.0,False,1,8
cell_001_009,380.0,60.0,1861.0,59.0,False,1,9
cell_001_010,420.0,60.0,1867.0,53.0,False,1,10
cell_001_011,460.0,60.0,1920.0,0.0,False,1,11
cell_002_000,20.0,100.0,1800.0,120.0,False,2,0
cell_002_001,60.0,100.0,1913.0,7.0,False,2,1
cell_002_002,100.0,100.0,1917.0,3.0,False,2,2
cell_002_003,140.0,100.0,1920.0,0.0,False,2,3
cell_002_004,180.0,100.0,1848.0,72.0,False,2,4
cell_002_005,220.0,100.0,1834.0,86.0,False,2,5
cell_002_006,260.0,100.0,1840.0,80.0,False,2,6
cell_002_007,300.0,100.0,1846.0,74.0,False,2,7
cell_002_008,340.0,100.0,1851.0,69.0,False,2,8
cell_002_009,380.0,100.0,1775.0,145.0,False,2,9
cell_002_010,420.0,100.0,1874.0,46.0,False,2,10
cell_002_011,460.0,100.0,1918.0,2.0,False,2,11
cell_003_000,20.0,140.0,1802.0,118.0,False,3,0
cell_003_001,60.0,140.0,1920.0,0.0,False,3,1
cell_003_002,100.0,140.0,1911.0,9.0,False,3,2
cell_003_003,140.0,140.0,1920.0,0.0,False,3,3
cell_003_004,180.0,140.0,1860.0,60.0,False,3,4
cell_003_005,220.0,140.0,1827.0,93.0,False,3,5
cell_003_006,260.0,140.0,1772.0,148.0,False,3,6
cell_003_007,300.0,140.0,1778.0,142.0,False,3,7
cell_003_008,340.0,140.0,1783.0,137.0,False,3,8
cell_003_009,380.0,140.0,1781.0,139.0,False,3,9
cell_003_010,420.0,140.0,1881.0,39.0,False,3,10
cell_003_011,460.0,140.0,1911.0,9.0,False,3,11
cell_004_000,20.0,180.0,1703.0,217.0,True,4,0
cell_004_001,60.0,180.0,1920.0,0.0,False,4,1
cell_004_002,100.0,180.0,1901.0,19.0,False,4,2
cell_004_003,140.0,180.0,1915.0,5.0,False,4,3
cell_004_004,180.0,180.0,1877.0,43.0,False,4,4
cell_004_005,220.0,180.0,1821.0,99.0,False,4,5
cell_004_006,260.0,180.0,1720.0,200.0,True,4,6
cell_004_007,300.0,180.0,1778.0,142.0,False,4,7
cell_004_008,340.0,180.0,1786.0,134.0,False,4,8
cell_004_009,380.0,180.0,1793.0,127.0,False,4,9
cell_004_010,420.0,180.0,1887.0,33.0,False,4,10
cell_004_011,460.0,180.0,1904.0,16.0,False,4,11
