cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,4008.0,792.0,True,0,0
cell_000_001,60.0,20.0,4002.0,798.0,True,0,1
cell_000_002,100.0,20.0,4536.0,264.0,True,0,2
cell_000_003,140.0,20.0,4780.0,20.0,False,0,3
cell_000_004,180.0,20.0,4787.0,13.0,False,0,4
cell_000_005,220.0,20.0,4765.0,35.0,False,0,5
cell_000_006,260.0,20.0,4756.0,44.0,False,0,6
cell_000_007,300.0,20.0,4737.0,63.0,False,0,7
cell_000_008,340.0,20.0,4731.0,69.0,False,0,8
cell_000_009,380.0,20.0,4800.0,0.0,False,0,9
cell_000_010,420.0,20.0,4800.0,0.0,False,0,10
cell_000_011,460.0,20.0,1372.0,3428.0,True,0,11
cell_001_000,20.0,60.0,4781.0,19.0,False,1,0
cell_001_001,60.0,60.0,4774.0,26.0,False,1,1
cell_001_002,100.0,60.0,4770.0,30.0,False,1,2
cell_001_003,140.0,60.0,4800.0,0.0,False,1,3
cell_001_004,180.0,60.0,4794.0,6.0,False,1,4
cell_001_005,220.0,60.0,4764.0,36.0,False,1,5
cell_001_006,260.0,60.0,4800.0,0.0,False,1,6
cell_001_007,300.0,60.0,4800.0,0.0,False,1,7
cell_001_008,340.0,60.0,4799.0,1.0,False,1,8
cell_001_009,380.0,60.0,4790.0,10.0,False,1,9
cell_001_010,420.0,60.0,4729.0,71.0,False,1,10
cell_001_011,460.0,60.0,1364.0,3436.0,True,1,11
cell_002_000,20.0,100.0,4787.0,13.0,False,2,0
cell_002_001,60.0,100.0,4779.0,21.0,False,2,1
cell_002_002,100.0,100.0,4772.0,28.0,False,2,2
cell_002_003,140.0,100.0,4800.0,0.0,False,2,3
cell_002_004,180.0,100.0,4753.0,47.0,False,2,4
cell_002_005,220.0,100.0,4708.0,92.0,False,2,5
cell_002_006,260.0,100.0,4800.0,0.0,False,2,6
cell_002_007,300.0,100.0,4800.0,0.0,False,2,7
cell_002_008,340.0,100.0,4797.0,3.0,False,2,8
cell_002_009,380.0,100.0,4792.0,8.0,False,2,9
cell_002_010,420.0,100.0,4786.0,14.0,False,2,10
cell_002_011,460.0,100.0,4725.0,75.0,False,2,11
cell_003_000,20.0,140.0,4800.0,0.0,False,3,0
cell_003_001,60.0,140.0,4800.0,0.0,False,3,1
cell_003_002,100.0,140.0,4768.0,32.0,False,3,2
cell_003_003,140.0,140.0,4711.0,89.0,False,3,3
cell_003_004,180.0,140.0,4719.0,81.0,False,3,4
