time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
1920.0,01,on_mission,420.0,398.0,0.8357618072835928,rr_07,15,cell_011_010,1,93.75
1920.0,02,on_mission,459.4995314696122,400.0187412155128,0.850414656023865,rr_06,15,cell_009_011,5,75.0
1920.0,03,on_mission,128.43514278434623,124.26219020926958,0.8521390217808926,rr_04,0,cell_000_002,17,0.0
1920.0,04,on_mission,460.0,58.0,0.8753672177794055,rr_05,18,cell_000_011,1,94.73684210526315
1920.0,05,idle,-499.4155187258379,0.08894280258988296,1.0,rr_04,0,cell_000_002,17,0.0
1920.0,06,idle,-500.0,-2.220446049250313e-16,1.0,rr_05,0,cell_000_003,19,0.0
1920.0,07,on_mission,165.45584412271572,405.4558441227157,0.888802151999423,rr_06,12,cell_010_004,8,60.0
1920.0,08,on_mission,220.0,226.0,0.88921750198058,rr_07,8,cell_004_005,8,50.0
1920.0,09,on_mission,60.00502892294243,168.53637887282707,0.5921859583083614,rr_00,2,cell_005_001,17,10.526315789473683
1920.0,10,on_mission,78.75431039608128,61.259482871378836,0.6028881313066415,rr_03,0,cell_000_001,19,0.0
1920.0,11,spare,-500.0,0.0,1.0,None,0,None,0,0
