cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,7723.0,317.0,True,0,0
cell_000_001,60.0,20.0,7717.0,323.0,True,0,1
cell_000_002,100.0,20.0,7710.0,330.0,True,0,2
cell_000_003,140.0,20.0,8040.0,0.0,False,0,3
cell_000_004,180.0,20.0,8039.0,1.0,False,0,4
cell_000_005,220.0,20.0,8032.0,8.0,False,0,5
cell_000_006,260.0,20.0,8026.0,14.0,False,0,6
cell_000_007,300.0,20.0,8019.0,21.0,False,0,7
cell_000_008,340.0,20.0,8012.0,28.0,False,0,8
cell_000_009,380.0,20.0,8006.0,34.0,False,0,9
cell_000_010,420.0,20.0,7999.0,41.0,False,0,10
cell_000_011,460.0,20.0,1372.0,6668.0,True,0,11
cell_001_000,20.0,60.0,7655.0,385.0,True,1,0
cell_001_001,60.0,60.0,8040.0,0.0,False,1,1
cell_001_002,100.0,60.0,8038.0,2.0,False,1,2
cell_001_003,140.0,60.0,8030.0,10.0,False,1,3
cell_001_004,180.0,60.0,8037.0,3.0,False,1,4
cell_001_005,220.0,60.0,8031.0,9.0,False,1,5
cell_001_006,260.0,60.0,8024.0,16.0,False,1,6
cell_001_007,300.0,60.0,8018.0,22.0,False,1,7
cell_001_008,340.0,60.0,8040.0,0.0,False,1,8
cell_001_009,380.0,60.0,8003.0,37.0,False,1,9
cell_001_010,420.0,60.0,7955.0,85.0,False,1,10
cell_001_011,460.0,60.0,1364.0,6676.0,True,1,11
cell_002_000,20.0,100.0,7918.0,122.0,False,2,0
cell_002_001,60.0,100.0,8037.0,3.0,False,2,1
cell_002_002,100.0,100.0,8040.0,0.0,False,2,2
cell_002_003,140.0,100.0,8033.0,7.0,False,2,3
cell_002_004,180.0,100.0,8013.0,27.0,False,2,4
cell_002_005,220.0,100.0,8007.0,33.0,False,2,5
cell_002_006,260.0,100.0,7982.0,58.0,False,2,6
cell_002_007,300.0,100.0,7975.0,65.0,False,2,7
cell_002_008,340.0,100.0,8039.0,1.0,False,2,8
cell_002_009,380.0,100.0,8035.0,5.0,False,2,9
cell_002_010,420.0,100.0,7957.0,83.0,False,2,10
cell_002_011,460.0,100.0,7951.0,89.0,False,2,11
cell_003_000,20.0,140.0,7874.0,166.0,False,3,0
cell_003_001,60.0,140.0,7911.0,129.0,False,3,1
cell_003_002,100.0,140.0,8029.0,11.0,False,3,2
cell_003_003,140.0,140.0,8040.0,0.0,False,3,3
cell_003_004,180.0,140.0,8019.0,21.0,False,3,4
