time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
960.0,01,on_mission,333.74017625624765,390.94674900630866,0.49687391289499394,rr_00,8,cell_011_008,1,88.88888888888889
960.0,02,on_mission,308.83871270281594,431.48304205126647,0.5001717413727833,rr_01,4,cell_008_008,6,40.0
960.0,03,on_mission,219.49368418253323,324.30378949048014,0.5006255268371337,rr_02,3,cell_007_006,5,37.5
960.0,04,on_mission,260.0,460.0,0.5035876842663529,rr_03,7,cell_008_010,2,77.77777777777779
960.0,05,on_mission,156.97056274847716,116.97056274847716,0.5765742182881483,rr_04,1,cell_003_004,9,10.0
960.0,06,on_mission,235.387402052962,112.74645655629656,0.5801474957214977,rr_05,0,cell_003_003,9,0.0
960.0,07,on_mission,123.13639495552876,145.78409873888216,0.5795340665973586,rr_06,0,cell_003_002,8,0.0
960.0,08,on_mission,260.0986497832576,133.84523374142927,0.58191688053017,rr_07,7,cell_002_006,2,77.77777777777779
960.0,09,on_mission,329.12540134711463,230.684169076256,0.6533910310155073,rr_08,3,cell_005_008,5,37.5
960.0,10,on_mission,20.0,442.0,0.6578118894348752,rr_09,3,cell_011_000,7,30.0
960.0,11,on_mission,60.0,228.0,0.658642073352668,rr_10,2,cell_008_001,7,22.22222222222222
960.0,12,on_mission,106.15800423393839,182.05266807797946,0.66057555672784,rr_11,3,cell_004_002,5,37.5
960.0,13,on_mission,460.0,218.0,0.7339066399686488,rr_12,11,cell_003_011,2,84.61538461538461
960.0,14,on_mission,419.77642102283176,386.2567718751918,0.7351558026069759,rr_13,6,cell_000_005,1,85.71428571428571
960.0,15,on_mission,420.0,246.0,0.7368965135549991,rr_14,6,cell_003_010,2,75.0
960.0,16,on_mission,305.53679830642477,324.82106723119165,0.7395045723990358,rr_15,4,cell_007_009,5,44.44444444444444
960.0,17,spare,-500.0,0.0,1.0,None,0,None,0,0
960.0,18,spare,-500.0,0.0,1.0,None,0,None,0,0
960.0,19,spare,-500.0,0.0,1.0,None,0,None,0,0
960.0,20,spare,-500.0,0.0,1.0,None,0,None,0,0
960.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
