cell_id,x,y,last_observed,age,overdue,grid_row,grid_col
cell_000_000,20.0,20.0,5120.0,640.0,True,0,0
cell_000_001,60.0,20.0,5114.0,646.0,True,0,1
cell_000_002,100.0,20.0,5107.0,653.0,True,0,2
cell_000_003,140.0,20.0,5681.0,79.0,False,0,3
cell_000_004,180.0,20.0,5688.0,72.0,False,0,4
cell_000_005,220.0,20.0,5669.0,91.0,False,0,5
cell_000_006,260.0,20.0,5680.0,80.0,False,0,6
cell_000_007,300.0,20.0,5696.0,64.0,False,0,7
cell_000_008,340.0,20.0,5760.0,0.0,False,0,8
cell_000_009,380.0,20.0,5760.0,0.0,False,0,9
cell_000_010,420.0,20.0,5755.0,5.0,False,0,10
cell_000_011,460.0,20.0,1372.0,4388.0,True,0,11
cell_001_000,20.0,60.0,5534.0,226.0,True,1,0
cell_001_001,60.0,60.0,5760.0,0.0,False,1,1
cell_001_002,100.0,60.0,5755.0,5.0,False,1,2
cell_001_003,140.0,60.0,5715.0,45.0,False,1,3
cell_001_004,180.0,60.0,5709.0,51.0,False,1,4
cell_001_005,220.0,60.0,5703.0,57.0,False,1,5
cell_001_006,260.0,60.0,5697.0,63.0,False,1,6
cell_001_007,300.0,60.0,5703.0,57.0,False,1,7
cell_001_008,340.0,60.0,5739.0,21.0,False,1,8
cell_001_009,380.0,60.0,5759.0,1.0,False,1,9
cell_001_010,420.0,60.0,5630.0,130.0,False,1,10
cell_001_011,460.0,60.0,1364.0,4396.0,True,1,11
cell_002_000,20.0,100.0,5725.0,35.0,False,2,0
cell_002_001,60.0,100.0,5756.0,4.0,False,2,1
cell_002_002,100.0,100.0,5755.0,5.0,False,2,2
cell_002_003,140.0,100.0,5717.0,43.0,False,2,3
cell_002_004,180.0,100.0,5709.0,51.0,False,2,4
cell_002_005,220.0,100.0,5678.0,82.0,False,2,5
cell_002_006,260.0,100.0,5653.0,107.0,False,2,6
cell_002_007,300.0,100.0,5731.0,29.0,False,2,7
cell_002_008,340.0,100.0,5735.0,25.0,False,2,8
cell_002_009,380.0,100.0,5637.0,123.0,False,2,9
cell_002_010,420.0,100.0,5632.0,128.0,False,2,10
cell_002_011,460.0,100.0,5626.0,134.0,False,2,11
cell_003_000,20.0,140.0,5731.0,29.0,False,3,0
cell_003_001,60.0,140.0,5737.0,23.0,False,3,1
cell_003_002,100.0,140.0,5748.0,12.0,False,3,2
cell_003_003,140.0,140.0,5745.0,15.0,False,3,3
cell_003_004,180.0,140.0,5709.0,51.0,False,3,4
cell_003_005,220.0,140.0,5716.0,44.0,False,3,5
cell_003_006,260.0,140.0,5721.0,39.0,False,3,6
cell_003_007,300.0,140.0,5725.0,35.0,False,3,7
cell_003_008,340.0,140.0,5713.0,47.0,False,3,8
cell_003_009,380.0,140.0,5644.0,116.0,False,3,9
cell_003_010,420.0,140.0,5760.0,0.0,False,3,10
cell_003_011,460.0,140.0,5618.0,142.0,False,3,11
cell_004_000,20.0,180.0,5738.0,22.0,False,4,0
cell_004_001,60.0,180.0,5744.0,16.0,False,4,1
cell_004_002,100.0,180.0,5666.0,94.0,False,4,2
cell_004_003,140.0,180.0,5739.0,21.0,False,4,3
cell_004_004,180.0,180.0,5736.0,24.0,False,4,4
cell_004_005,220.0,180.0,5722.0,38.0,False,4,5
cell_004_006,260.0,180.0,5615.0,145.0,False,4,6
cell_004_007,300.0,180.0,5722.0,38.0,False,4,7
cell_004_008,340.0,180.0,5721.0,39.0,False,4,8
cell_004_009,380.0,180.0,5700.0,60.0,False,4,9
cell_004_010,420.0,180.0,5759.0,1.0,False,4,10
cell_004_011,460.0,180.0,5611.0,149.0,False,4,11
cell_005_000,20.0,220.0,5745.0,15.0,False,5,0
cell_005_001,60.0,220.0,5751.0,9.0,False,5,1
cell_005_002,100.0,220.0,5665.0,95.0,False,5,2
cell_005_003,140.0,220.0,5723.0,37.0,False,5,3
cell_005_004,180.0,220.0,5731.0,29.0,False,5,4
cell_005_005,220.0,220.0,5729.0,31.0,False,5,5
cell_005_006,260.0,220.0,5621.0,139.0,False,5,6
cell_005_007,300.0,220.0,5759.0,1.0,False,5,7
cell_005_008,340.0,220.0,5760.0,0.0,False,5,8
cell_005_009,380.0,220.0,5693.0,67.0,False,5,9
cell_005_010,420.0,220.0,5752.0,8.0,False,5,10
cell_005_011,460.0,220.0,5604.0,156.0,False,5,11
cell_006_000,20.0,260.0,5752.0,8.0,False,6,0
cell_006_001,60.0,260.0,5758.0,2.0,False,6,1
cell_006_002,100.0,260.0,5760.0,0.0,False,6,2
cell_006_003,140.0,260.0,5757.0,3.0,False,6,3
cell_006_004,180.0,260.0,5749.0,11.0,False,6,4
cell_006_005,220.0,260.0,5744.0,16.0,False,6,5
cell_006_006,260.0,260.0,5751.0,9.0,False,6,6
cell_006_007,300.0,260.0,5758.0,2.0,False,6,7
cell_006_008,340.0,260.0,5759.0,1.0,False,6,8
cell_006_009,380.0,260.0,5687.0,73.0,False,6,9
cell_006_010,420.0,260.0,5745.0,15.0,False,6,10
cell_006_011,460.0,260.0,5598.0,162.0,False,6,11
cell_007_000,20.0,300.0,5758.0,2.0,False,7,0
cell_007_001,60.0,300.0,5760.0,0.0,False,7,1
cell_007_002,100.0,300.0,5723.0,37.0,False,7,2
cell_007_003,140.0,300.0,5753.0,7.0,False,7,3
cell_007_004,180.0,300.0,5748.0,12.0,False,7,4
cell_007_005,220.0,300.0,5742.0,18.0,False,7,5
cell_007_006,260.0,300.0,5712.0,48.0,False,7,6
cell_007_007,300.0,300.0,5741.0,19.0,False,7,7
cell_007_008,340.0,300.0,5750.0,10.0,False,7,8
cell_007_009,380.0,300.0,5758.0,2.0,False,7,9
cell_007_010,420.0,300.0,5760.0,0.0,False,7,10
cell_007_011,460.0,300.0,5591.0,169.0,False,7,11
cell_008_000,20.0,340.0,5760.0,0.0,False,8,0
cell_008_001,60.0,340.0,5600.0,160.0,False,8,1
cell_008_002,100.0,340.0,5598.0,162.0,False,8,2
cell_008_003,140.0,340.0,5753.0,7.0,False,8,3
cell_008_004,180.0,340.0,5757.0,3.0,False,8,4
cell_008_005,220.0,340.0,5760.0,0.0,False,8,5
cell_008_006,260.0,340.0,5760.0,0.0,False,8,6
cell_008_007,300.0,340.0,5760.0,0.0,False,8,7
cell_008_008,340.0,340.0,5750.0,10.0,False,8,8
cell_008_009,380.0,340.0,5753.0,7.0,False,8,9
cell_008_010,420.0,340.0,5612.0,148.0,False,8,10
cell_008_011,460.0,340.0,5584.0,176.0,False,8,11
cell_009_000,20.0,380.0,5588.0,172.0,False,9,0
cell_009_001,60.0,380.0,5607.0,153.0,False,9,1
cell_009_002,100.0,380.0,5709.0,51.0,False,9,2
cell_009_003,140.0,380.0,5754.0,6.0,False,9,3
cell_009_004,180.0,380.0,5760.0,0.0,False,9,4
cell_009_005,220.0,380.0,5760.0,0.0,False,9,5
cell_009_006,260.0,380.0,5755.0,5.0,False,9,6
cell_009_007,300.0,380.0,5746.0,14.0,False,9,7
cell_009_008,340.0,380.0,5757.0,3.0,False,9,8
cell_009_009,380.0,380.0,5687.0,73.0,False,9,9
cell_009_010,420.0,380.0,5599.0,161.0,False,9,10
cell_009_011,460.0,380.0,5577.0,183.0,True,9,11
