time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
1320.0,01,on_mission,253.79208343748994,352.24010429686246,0.3091351507659475,rr_00,0,cell_001_000,9,0.0
1320.0,02,on_mission,262.8575527779253,46.031654938238766,0.3128358104364529,rr_01,0,cell_002_000,10,0.0
1320.0,03,on_mission,385.07641443617456,46.303179503215745,0.3115221059245612,rr_02,7,cell_000_010,1,87.5
1320.0,04,on_mission,122.76839915321233,107.58946638440409,0.3148239858780608,rr_03,1,cell_003_005,8,11.11111111111111
1320.0,05,on_mission,460.0,292.0,0.38897220183250314,rr_04,7,cell_004_011,3,70.0
1320.0,06,on_mission,297.16308502354383,420.70922874411434,0.3932837057968451,rr_05,6,cell_009_011,3,66.66666666666666
1320.0,07,on_mission,248.9497615658044,414.263052920977,0.39048748567571073,rr_06,6,cell_009_010,2,75.0
1320.0,08,on_mission,60.0,236.0,0.3935107871055215,rr_07,1,cell_007_001,8,11.11111111111111
1320.0,09,on_mission,227.87510831897234,347.87510831897254,0.46555598426891115,rr_08,0,cell_003_000,8,0.0
1320.0,10,on_mission,322.76839915321244,151.69480254036284,0.47056710717383526,rr_09,8,cell_002_008,2,80.0
1320.0,11,on_mission,379.97130348576667,269.84533568872524,0.46964015888073973,rr_10,5,cell_006_009,4,55.55555555555556
1320.0,12,on_mission,390.89572499564014,92.72393124891003,0.4721442386734361,rr_11,0,cell_000_002,8,0.0
1320.0,13,on_mission,152.72792206135787,192.72792206135787,0.5471018944148397,rr_12,5,cell_005_004,8,38.46153846153847
1320.0,14,on_mission,152.72792206135787,207.27207793864213,0.5473078443617202,rr_13,1,cell_004_004,6,14.285714285714285
1320.0,15,on_mission,173.99729724794005,195.3342342506867,0.548749292352531,rr_14,2,cell_004_005,6,25.0
1320.0,16,on_mission,300.31060296375665,166.56313234541437,0.5507031408298093,rr_15,6,cell_004_006,3,66.66666666666666
1320.0,17,on_mission,208.14989597775877,456.0499653259196,0.8959571977504521,rr_03,5,cell_011_005,4,55.55555555555556
1320.0,18,on_mission,322.92370063509065,88.77110190527223,0.8974769871469545,rr_00,7,cell_000_007,2,77.77777777777779
1320.0,19,on_mission,328.18462368354994,374.68748123595685,0.9082512346840689,rr_01,4,cell_008_008,6,40.0
1320.0,20,on_mission,288.4604989415155,309.48683298050526,0.9150583707412926,rr_02,4,cell_008_009,4,50.0
1320.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
