time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
9600.0,01,on_mission,281.346666326548,457.3352380466497,0.9113423567769073,rr_01,3,cell_011_007,7,30.0
9600.0,02,on_mission,19.207006573840292,131.8308724294552,0.9476190476190515,rr_00,1,cell_005_000,8,11.11111111111111
9600.0,03,on_mission,-469.662934646763,19.38201397567922,0.9968253968253971,rr_03,5,cell_011_005,4,55.55555555555556
9600.0,04,swapping,-500.0,0.0,0.22830519500249935,rr_03,0,cell_002_002,9,0.0
9600.0,05,rtb,-370.4409537164725,6.2989137487193325,0.23797713237958598,rr_02,0,cell_002_001,8,0.0
9600.0,06,on_mission,460.0,366.0,0.489901712524046,rr_13,5,cell_011_011,2,71.42857142857143
9600.0,07,on_mission,415.2,136.4,0.5231324195372139,rr_14,7,cell_000_006,1,87.5
9600.0,08,on_mission,322.0407250318284,403.67345417197146,0.5458926505500755,rr_12,8,cell_010_010,5,61.53846153846154
9600.0,09,on_mission,180.0,264.0,0.6669747004706519,rr_13,2,cell_008_004,5,28.57142857142857
9600.0,10,on_mission,168.492424049175,278.78679656440386,0.681137330976543,rr_08,2,cell_006_007,6,25.0
9600.0,11,on_mission,173.99729724794005,195.3342342506867,0.7219508497858126,rr_14,2,cell_004_005,6,25.0
9600.0,12,on_mission,379.5864587571976,282.15537764606756,0.7492442673713104,rr_15,5,cell_003_009,4,55.55555555555556
9600.0,13,on_mission,158.78679656440357,361.21320343559637,0.7881026273463315,rr_13,3,cell_009_003,4,42.857142857142854
9600.0,14,on_mission,239.18363542992864,389.86393923832156,0.8215350790078162,rr_12,8,cell_010_010,5,61.53846153846154
9600.0,15,on_mission,134.61850317545355,368.46049894151554,0.8213821947277671,rr_14,4,cell_009_002,4,50.0
9600.0,16,on_mission,366.86631998604844,76.71657999651211,0.8706053130175011,rr_12,0,cell_000_003,13,0.0
9600.0,17,idle,-500.0,0.0,1.0,rr_12,0,cell_000_003,13,0.0
9600.0,18,on_mission,231.1170266201766,62.32223187713999,0.8303402152172181,rr_02,0,cell_002_001,8,0.0
9600.0,19,idle,-500.0,0.0,1.0,rr_14,0,cell_001_002,8,0.0
9600.0,20,idle,-500.0,0.0,1.0,rr_12,0,cell_000_003,13,0.0
9600.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
