time,active_uavs,spare_uavs,swapping_uavs,contingency_spares,failed_uavs,deployed_uavs,coverage_%,rolling_avg_%,cells_overdue,c2_violations,c3_alarms,c3_missed,avg_soc,min_soc,orphan_overdue,orphan_coverage_%,bridge_inserts
1.0,1,29,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.9,0,0.0,0
2.0,1,29,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.9,0,0.0,0
3.0,1,29,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.8,0,0.0,0
4.0,1,29,0,1,0,1,0.0,0.0,144,0,0,0,100.0,99.8,0,0.0,0
5.0,2,28,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.7,0,0.0,0
6.0,2,28,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.7,0,0.0,0
7.0,2,28,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.6,0,0.0,0
8.0,2,28,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.6,0,0.0,0
9.0,2,28,0,1,0,2,0.0,0.0,144,0,0,0,100.0,99.5,0,0.0,0
10.0,3,27,0,1,0,3,0.0,0.0,144,0,0,0,100.0,99.5,0,0.0,0
11.0,3,27,0,1,0,3,0.0,0.0,144,0,0,0,100.0,99.4,0,0.0,0
12.0,3,27,0,1,0,3,0.0,0.0,144,0,0,0,100.0,99.4,0,0.0,0
13.0,3,27,0,1,0,3,0.0,0.0,144,0,0,0,100.0,99.3,0,0.0,0
14.0,3,27,0,1,0,3,0.0,0.0,144,0,0,0,100.0,99.3,0,0.0,0
15.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,99.2,0,0.0,0
16.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,99.2,0,0.0,0
17.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,99.1,0,0.0,0
18.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,99.0,0,0.0,0
19.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,99.0,0,0.0,0
20.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.9,0,0.0,0
21.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.9,0,0.0,0
22.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.8,0,0.0,0
23.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.8,0,0.0,0
24.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.7,0,0.0,0
25.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.7,0,0.0,0
26.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.6,0,0.0,0
27.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.6,0,0.0,0
28.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.9,98.5,0,0.0,0
29.0,4,26,0,1,0,4,0.0,0.0,144,0,0,0,99.8,98.5,0,0.0,0
