time,uav_id,state,x,y,soc,route_id,waypoint_idx,current_cell,remaining_cells,progress_pct
4800.0,01,on_mission,38.596315531328855,145.8698354564014,0.9507936507936544,rr_12,10,cell_006_011,3,76.92307692307693
4800.0,02,on_mission,-415.5974710120407,57.27314467040101,0.9910052910052917,rr_15,2,cell_009_001,7,22.22222222222222
4800.0,03,idle,-500.0,0.0,1.0,rr_08,0,cell_003_000,8,0.0
4800.0,04,idle,-500.0,0.0,1.0,rr_12,0,cell_000_003,13,0.0
4800.0,05,swapping,-500.0,0.0,0.24044453617615819,rr_15,0,cell_001_001,9,0.0
4800.0,06,rtb,-351.75402091835315,21.09009738659363,0.25138414160552236,rr_13,0,cell_005_003,7,0.0
4800.0,07,rtb,-287.0316114398704,104.73610345385327,0.2515674325172417,rr_14,4,cell_009_002,4,50.0
4800.0,08,rtb,-93.79917031693488,206.46330902270927,0.26247261848144976,rr_12,8,cell_010_010,5,61.53846153846154
4800.0,09,rtb,-142.48343424867616,45.396948140089805,0.27420804120966713,rr_02,0,cell_002_001,8,0.0
4800.0,10,on_mission,198.19090885901002,354.5441558772845,0.4014959285379836,rr_00,3,cell_008_007,6,33.33333333333333
4800.0,11,on_mission,20.0,112.0,0.4318263357075041,rr_01,1,cell_006_000,9,10.0
4800.0,12,on_mission,122.76839915321233,427.5894663844042,0.43015608732215926,rr_03,5,cell_011_005,4,55.55555555555556
4800.0,13,on_mission,371.74830507641855,31.357033351005306,0.43844885546995616,rr_02,0,cell_002_001,8,0.0
4800.0,14,on_mission,140.0,84.0,0.7127247297211855,rr_12,4,cell_004_003,9,30.76923076923077
4800.0,15,on_mission,253.13587954599208,80.7491125009861,0.7162018698708698,rr_13,6,cell_000_005,1,85.71428571428571
4800.0,16,on_mission,219.5690721888768,192.15525050823013,0.7166497370010939,rr_14,3,cell_008_005,5,37.5
4800.0,17,on_mission,442.68446004534314,304.32888498866424,0.8914516894070746,rr_13,4,cell_007_011,3,57.14285714285714
4800.0,18,on_mission,307.7447678662824,123.23430359884738,0.9118943223367225,rr_08,4,cell_002_007,4,50.0
4800.0,19,on_mission,418.40502493910964,299.4798994366662,0.9148148148148211,rr_14,6,cell_003_010,2,75.0
4800.0,20,idle,-500.0,0.0,1.0,rr_08,0,cell_003_000,8,0.0
4800.0,21,spare,-500.0,0.0,1.0,None,0,None,0,0
